first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Lizzie,Pannill Fletcher,"Pannill Fletcher, Lizzie",H8TX07140,,,0.79,HOUSE,,
Kevin,Brady,"Brady, Kevin",H6TX08100,0.04,HOUSE,0.07,HOUSE,0.09,HOUSE
Al,Green,"Green, Al",H4TX09095,0.86,HOUSE,0.97,HOUSE,1,HOUSE
Michael,McCaul,"McCaul, Michael",H4TX10093,0.04,HOUSE,0.21,HOUSE,0.13,HOUSE
Mike,Conaway,"Conaway, Mike",H4TX19136,0.03,HOUSE,0.07,HOUSE,0.09,HOUSE
Kay,Granger,"Granger, Kay",H6TX12060,0.04,HOUSE,0.1,HOUSE,0.09,HOUSE
Mac,Thornberry,"Thornberry, Mac",H4TX13014,0.04,HOUSE,0.03,HOUSE,0.09,HOUSE
Randy,Weber,"Weber, Randy",H2TX14149,0.14,HOUSE,0.03,HOUSE,0.06,HOUSE
Vicente,Gonzalez,"Gonzalez, Vicente",H6TX15162,0.82,HOUSE,0.86,HOUSE,0.84,HOUSE
Beto,O'Rourke,"O'Rourke, Beto",H2TX16185,0.82,HOUSE,,,0.94,HOUSE
Veronica,Escobar,"Escobar, Veronica",H8TX16109,,,0.97,HOUSE,,
Bill,Flores,"Flores, Bill",H0TX17104,0.04,HOUSE,0.07,HOUSE,0.09,HOUSE
Sheila,Jackson Lee,"Jackson Lee, Sheila",H4TX18054,0.88,HOUSE,0.93,HOUSE,1,HOUSE
Jodey,Arrington,"Arrington, Jodey",H6TX19099,0.04,HOUSE,0.07,HOUSE,0.09,HOUSE
Joaquin,Castro,"Castro, Joaquin",H2TX35011,0.86,HOUSE,0.93,HOUSE,1,HOUSE
Lamar,Smith,"Smith, Lamar",H6TX21012,0.03,HOUSE,,,0.09,HOUSE
Chip,Roy,"Roy, Chip",H8TX21307,,,0,HOUSE,,
Pete,Olson,"Olson, Pete",H8TX22107,0.04,HOUSE,0.07,HOUSE,0.09,HOUSE
Will,Hurd,"Hurd, Will",H0TX23086,0.07,HOUSE,,,0.22,HOUSE
Kenny,Marchant,"Marchant, Kenny",H4TX24094,0.04,HOUSE,0.03,HOUSE,0.06,HOUSE
Roger,Williams,"Williams, Roger",H2TX33040,0.14,HOUSE,0,HOUSE,0.09,HOUSE
Michael C,Burgess,"Burgess, Michael C",H2TX26093,0.11,HOUSE,0.1,HOUSE,0.09,HOUSE
Michael,Cloud,"Cloud, Michael",H8TX27049,,,0,HOUSE,,
Henry,Cuellar,"Cuellar, Henry",H2TX23082,0.43,HOUSE,0.79,HOUSE,0.59,HOUSE
Sylvia,Garcia,"Garcia, Sylvia",H8TX29052,,,0.9,HOUSE,,
Eddie Bernice,Johnson,"Johnson, Eddie Bernice",H2TX00015,0.89,HOUSE,0.97,HOUSE,0.97,HOUSE
John,Carter,"Carter, John",H2TX31044,0.04,HOUSE,0.03,HOUSE,0.06,HOUSE
Pete,Sessions,"Sessions, Pete",H2TX03126,0.04,HOUSE,,,0.09,HOUSE
Colin,Allred,"Allred, Colin",H8TX32098,,,0.93,HOUSE,,
Marc,Veasey,"Veasey, Marc",H2TX33073,0.86,HOUSE,0.97,HOUSE,0.97,HOUSE
Filemon,Vela Jr,"Vela Jr, Filemon",H2TX27190,0.82,HOUSE,0.86,HOUSE,0.81,HOUSE
Lloyd,Doggett,"Doggett, Lloyd",H4TX10028,0.89,HOUSE,0.97,HOUSE,0.97,HOUSE
Brian,Babin,"Babin, Brian",H6TX02079,0.12,HOUSE,0.07,HOUSE,0.03,HOUSE
Rob,Bishop,"Bishop, Rob",H2UT01094,0.11,HOUSE,0.03,HOUSE,0.09,HOUSE
Chris,Stewart,"Stewart, Chris",H2UT02324,0.07,HOUSE,0.03,HOUSE,0.06,HOUSE
John,Curtis,"Curtis, John",H8UT03238,0.25,HOUSE,0.03,HOUSE,,HOUSE
Mia,Love,"Love, Mia",H2UT04023,0.07,HOUSE,,,0.13,HOUSE
Ben,McAdams,"McAdams, Ben",H8UT04053,,,0.86,HOUSE,,
Peter,Welch,"Welch, Peter",H6VT00160,0.86,HOUSE,0.97,HOUSE,0.97,HOUSE
Rob,Wittman,"Wittman, Rob",H8VA01147,0.11,HOUSE,0.03,HOUSE,0.09,HOUSE
Bob,Goodlatte,"Goodlatte, Bob",H2VA06115,0.03,HOUSE,,,0.09,HOUSE
Dave,Brat,"Brat, Dave",H4VA07143,0.21,HOUSE,,,0.09,HOUSE
Elaine,Luria,"Luria, Elaine",H8VA02111,,,0.97,HOUSE,,
Bobby,Scott,"Scott, Bobby",H6VA01117,0.93,HOUSE,0.97,HOUSE,1,HOUSE
Donald,McEachin,"McEachin, Donald",H6VA04061,0.77,HOUSE,1,HOUSE,0.94,HOUSE
Denver,Riggleman,"Riggleman, Denver",H8VA05171,,,0.17,HOUSE,,
Ben,Cline,"Cline, Ben",H8VA06104,,,0,HOUSE,,
Abigail,Spanberger,"Spanberger, Abigail",H8VA07094,,,0.97,HOUSE,,
